date,Total Building Permits,Single-Family Permits,2-4 Unit Permits,5+ Unit Permits,Permits - Northeast,Permits - Midwest,Permits - South,Permits - West
1960-01-01,1092.0,846.0,67.0,179.0,246.0,253.0,331.0,262.0
1960-02-01,1088.0,868.0,71.0,149.0,232.0,256.0,305.0,295.0
1960-03-01,955.0,729.0,60.0,166.0,166.0,189.0,273.0,327.0
1960-04-01,1016.0,778.0,57.0,181.0,189.0,244.0,286.0,297.0
1960-05-01,1052.0,758.0,63.0,231.0,224.0,240.0,302.0,286.0
1960-06-01,958.0,749.0,68.0,141.0,176.0,213.0,285.0,284.0
1960-07-01,999.0,732.0,77.0,190.0,219.0,224.0,268.0,288.0
1960-08-01,994.0,732.0,65.0,197.0,208.0,230.0,270.0,286.0
1960-09-01,984.0,704.0,63.0,217.0,205.0,220.0,264.0,295.0
1960-10-01,972.0,711.0,58.0,203.0,196.0,232.0,263.0,281.0
1960-11-01,979.0,707.0,71.0,201.0,205.0,223.0,274.0,277.0
1960-12-01,951.0,688.0,65.0,198.0,169.0,238.0,280.0,264.0
1961-01-01,969.0,703.0,59.0,207.0,172.0,236.0,275.0,286.0
1961-02-01,961.0,673.0,63.0,225.0,176.0,251.0,258.0,276.0
1961-03-01,1000.0,699.0,59.0,242.0,201.0,229.0,282.0,288.0
1961-04-01,1002.0,687.0,69.0,246.0,205.0,213.0,292.0,292.0
1961-05-01,1027.0,706.0,66.0,255.0,219.0,222.0,290.0,296.0
1961-06-01,1070.0,716.0,69.0,285.0,221.0,220.0,305.0,324.0
1961-07-01,1083.0,741.0,64.0,278.0,237.0,228.0,308.0,310.0
1961-08-01,1159.0,747.0,71.0,341.0,301.0,225.0,319.0,314.0
1961-09-01,1098.0,738.0,72.0,288.0,226.0,235.0,315.0,322.0
1961-10-01,1123.0,766.0,76.0,281.0,235.0,228.0,325.0,335.0
1961-11-01,1152.0,768.0,74.0,310.0,252.0,231.0,314.0,355.0
1961-12-01,1161.0,774.0,72.0,315.0,275.0,227.0,321.0,338.0
1962-01-01,1122.0,717.0,82.0,323.0,269.0,199.0,323.0,331.0
1962-02-01,1194.0,741.0,81.0,372.0,275.0,253.0,339.0,327.0
1962-03-01,1134.0,706.0,83.0,345.0,243.0,223.0,330.0,338.0
1962-04-01,1235.0,746.0,83.0,406.0,290.0,236.0,327.0,382.0
1962-05-01,1142.0,710.0,96.0,336.0,220.0,238.0,341.0,343.0
1962-06-01,1154.0,704.0,79.0,371.0,233.0,241.0,329.0,351.0
1962-07-01,1189.0,717.0,92.0,380.0,226.0,251.0,346.0,366.0
1962-08-01,1200.0,725.0,84.0,391.0,228.0,233.0,359.0,380.0
1962-09-01,1223.0,718.0,88.0,417.0,222.0,258.0,355.0,388.0
1962-10-01,1181.0,690.0,86.0,405.0,241.0,234.0,347.0,359.0
1962-11-01,1236.0,700.0,95.0,441.0,242.0,233.0,364.0,397.0
1962-12-01,1236.0,702.0,106.0,428.0,231.0,249.0,346.0,410.0
1963-01-01,1248.0,695.0,104.0,449.0,245.0,201.0,370.0,432.0
1963-02-01,1212.0,699.0,103.0,410.0,233.0,193.0,375.0,411.0
1963-03-01,1258.0,738.0,116.0,404.0,230.0,251.0,361.0,416.0
1963-04-01,1288.0,777.0,104.0,407.0,230.0,285.0,382.0,391.0
1963-05-01,1350.0,740.0,117.0,493.0,247.0,270.0,406.0,427.0
1963-06-01,1345.0,771.0,143.0,431.0,213.0,285.0,399.0,448.0
1963-07-01,1321.0,752.0,126.0,443.0,226.0,268.0,409.0,418.0
1963-08-01,1310.0,756.0,107.0,447.0,224.0,277.0,392.0,417.0
1963-09-01,1413.0,784.0,132.0,497.0,268.0,274.0,428.0,443.0
1963-10-01,1414.0,771.0,132.0,511.0,261.0,281.0,425.0,447.0
1963-11-01,1357.0,735.0,126.0,496.0,235.0,299.0,422.0,401.0
1963-12-01,1423.0,714.0,115.0,594.0,243.0,274.0,476.0,430.0
1964-01-01,1296.0,708.0,114.0,474.0,198.0,298.0,401.0,399.0
1964-02-01,1442.0,820.0,131.0,491.0,269.0,343.0,405.0,425.0
1964-03-01,1313.0,737.0,99.0,477.0,262.0,297.0,398.0,356.0
1964-04-01,1264.0,688.0,99.0,477.0,232.0,264.0,398.0,370.0
1964-05-01,1299.0,727.0,104.0,468.0,244.0,279.0,399.0,377.0
1964-06-01,1280.0,710.0,103.0,467.0,264.0,269.0,391.0,356.0
1964-07-01,1304.0,709.0,104.0,491.0,244.0,276.0,414.0,370.0
1964-08-01,1306.0,714.0,94.0,498.0,250.0,295.0,434.0,327.0
1964-09-01,1265.0,713.0,92.0,460.0,241.0,299.0,401.0,324.0
1964-10-01,1230.0,705.0,98.0,427.0,223.0,301.0,392.0,314.0
1964-11-01,1254.0,731.0,93.0,430.0,243.0,295.0,411.0,305.0
1964-12-01,1164.0,699.0,75.0,390.0,248.0,252.0,367.0,297.0
1965-01-01,1264.0,728.0,94.0,442.0,221.0,338.0,420.0,285.0
1965-02-01,1185.0,687.0,79.0,419.0,219.0,270.0,404.0,292.0
1965-03-01,1211.0,674.0,82.0,455.0,251.0,253.0,391.0,316.0
1965-04-01,1162.0,684.0,87.0,391.0,223.0,300.0,376.0,263.0
1965-05-01,1207.0,707.0,82.0,418.0,252.0,309.0,381.0,265.0
1965-06-01,1241.0,696.0,86.0,459.0,258.0,308.0,419.0,256.0
1965-07-01,1237.0,709.0,89.0,439.0,240.0,345.0,402.0,250.0
1965-08-01,1249.0,724.0,86.0,439.0,261.0,320.0,397.0,271.0
1965-09-01,1227.0,701.0,87.0,439.0,264.0,306.0,403.0,254.0
1965-10-01,1279.0,749.0,77.0,453.0,273.0,305.0,448.0,253.0
1965-11-01,1306.0,737.0,79.0,490.0,279.0,308.0,424.0,295.0
1965-12-01,1315.0,741.0,85.0,489.0,273.0,380.0,441.0,221.0
1966-01-01,1325.0,739.0,89.0,497.0,304.0,338.0,430.0,253.0
1966-02-01,1159.0,631.0,71.0,457.0,234.0,317.0,382.0,226.0
1966-03-01,1234.0,711.0,84.0,439.0,273.0,344.0,395.0,222.0
1966-04-01,1145.0,647.0,73.0,425.0,245.0,291.0,394.0,215.0
1966-05-01,1078.0,589.0,68.0,421.0,234.0,275.0,369.0,200.0
1966-06-01,956.0,574.0,58.0,324.0,204.0,246.0,327.0,179.0
1966-07-01,932.0,544.0,58.0,330.0,226.0,228.0,306.0,172.0
1966-08-01,877.0,505.0,51.0,321.0,208.0,220.0,305.0,144.0
1966-09-01,774.0,467.0,44.0,263.0,159.0,218.0,261.0,136.0
1966-10-01,739.0,446.0,47.0,246.0,141.0,197.0,261.0,140.0
1966-11-01,736.0,442.0,44.0,250.0,170.0,189.0,251.0,126.0
1966-12-01,743.0,458.0,44.0,241.0,151.0,176.0,285.0,131.0
1967-01-01,995.0,577.0,56.0,362.0,289.0,234.0,322.0,150.0
1967-02-01,907.0,564.0,56.0,287.0,200.0,229.0,310.0,168.0
1967-03-01,955.0,570.0,61.0,324.0,172.0,248.0,354.0,181.0
1967-04-01,1035.0,606.0,61.0,368.0,220.0,276.0,356.0,183.0
1967-05-01,1076.0,636.0,66.0,374.0,204.0,277.0,393.0,202.0
1967-06-01,1169.0,673.0,76.0,420.0,226.0,306.0,406.0,231.0
1967-07-01,1177.0,675.0,77.0,425.0,228.0,329.0,396.0,224.0
1967-08-01,1229.0,697.0,80.0,452.0,220.0,337.0,407.0,265.0
1967-09-01,1279.0,701.0,81.0,497.0,243.0,363.0,429.0,244.0
1967-10-01,1280.0,707.0,90.0,483.0,233.0,361.0,433.0,253.0
1967-11-01,1297.0,695.0,86.0,516.0,228.0,356.0,462.0,251.0
1967-12-01,1315.0,701.0,83.0,531.0,240.0,359.0,441.0,275.0
1968-01-01,1179.0,679.0,81.0,419.0,181.0,333.0,414.0,251.0
1968-02-01,1342.0,711.0,89.0,542.0,224.0,381.0,460.0,277.0
1968-03-01,1370.0,691.0,80.0,599.0,297.0,332.0,454.0,287.0
1968-04-01,1286.0,675.0,81.0,530.0,243.0,330.0,446.0,267.0
1968-05-01,1297.0,665.0,83.0,549.0,218.0,369.0,435.0,275.0
1968-06-01,1300.0,654.0,83.0,563.0,250.0,317.0,464.0,269.0
1968-07-01,1344.0,689.0,75.0,580.0,222.0,327.0,502.0,293.0
1968-08-01,1357.0,700.0,79.0,578.0,245.0,336.0,481.0,295.0
1968-09-01,1464.0,738.0,88.0,638.0,234.0,393.0,522.0,315.0
1968-10-01,1421.0,717.0,84.0,620.0,242.0,358.0,521.0,300.0
1968-11-01,1436.0,729.0,90.0,617.0,204.0,400.0,490.0,342.0
1968-12-01,1389.0,688.0,94.0,607.0,224.0,316.0,533.0,316.0
1969-01-01,1459.0,683.0,82.0,694.0,239.0,388.0,517.0,315.0
1969-02-01,1495.0,707.0,97.0,691.0,243.0,423.0,525.0,304.0
1969-03-01,1438.0,665.0,97.0,676.0,254.0,366.0,507.0,311.0
1969-04-01,1441.0,662.0,89.0,690.0,242.0,351.0,502.0,346.0
1969-05-01,1328.0,634.0,84.0,610.0,242.0,290.0,470.0,326.0
1969-06-01,1349.0,642.0,86.0,621.0,211.0,322.0,456.0,360.0
1969-07-01,1278.0,595.0,89.0,594.0,209.0,304.0,448.0,317.0
1969-08-01,1317.0,591.0,83.0,643.0,198.0,299.0,507.0,313.0
1969-09-01,1263.0,591.0,78.0,594.0,199.0,286.0,456.0,322.0
1969-10-01,1216.0,589.0,83.0,544.0,198.0,289.0,413.0,316.0
1969-11-01,1191.0,585.0,81.0,525.0,178.0,276.0,442.0,295.0
1969-12-01,1155.0,587.0,77.0,491.0,184.0,271.0,409.0,291.0
1970-01-01,1062.0,486.0,73.0,503.0,150.0,216.0,407.0,289.0
1970-02-01,1118.0,558.0,73.0,487.0,192.0,240.0,401.0,285.0
1970-03-01,1132.0,557.0,68.0,507.0,177.0,258.0,410.0,287.0
1970-04-01,1224.0,611.0,75.0,538.0,181.0,235.0,466.0,342.0
1970-05-01,1328.0,602.0,81.0,645.0,200.0,259.0,528.0,341.0
1970-06-01,1322.0,623.0,85.0,614.0,217.0,298.0,494.0,313.0
1970-07-01,1324.0,648.0,87.0,589.0,226.0,309.0,480.0,309.0
1970-08-01,1394.0,684.0,100.0,610.0,221.0,311.0,513.0,349.0
1970-09-01,1426.0,702.0,121.0,603.0,208.0,287.0,549.0,382.0
1970-10-01,1564.0,717.0,97.0,750.0,249.0,322.0,569.0,424.0
1970-11-01,1502.0,710.0,99.0,693.0,265.0,330.0,564.0,343.0
1970-12-01,1767.0,854.0,97.0,816.0,314.0,350.0,669.0,434.0
1971-01-01,1643.0,796.0,111.0,736.0,264.0,366.0,635.0,378.0
1971-02-01,1588.0,776.0,118.0,694.0,202.0,308.0,632.0,446.0
1971-03-01,1759.0,844.0,120.0,795.0,273.0,395.0,659.0,432.0
1971-04-01,1745.0,865.0,122.0,758.0,251.0,400.0,655.0,439.0
1971-05-01,1972.0,939.0,133.0,900.0,342.0,430.0,720.0,480.0
1971-06-01,1903.0,923.0,145.0,835.0,293.0,420.0,716.0,474.0
1971-07-01,2069.0,960.0,140.0,969.0,333.0,435.0,790.0,511.0
1971-08-01,2004.0,911.0,143.0,950.0,331.0,426.0,740.0,507.0
1971-09-01,1996.0,907.0,141.0,948.0,344.0,427.0,758.0,467.0
1971-10-01,2026.0,918.0,134.0,974.0,318.0,431.0,776.0,501.0
1971-11-01,2079.0,969.0,137.0,973.0,316.0,458.0,794.0,511.0
1971-12-01,2133.0,994.0,135.0,1004.0,313.0,476.0,821.0,523.0
1972-01-01,2238.0,1115.0,145.0,978.0,372.0,416.0,852.0,597.0
1972-02-01,2169.0,992.0,135.0,1042.0,350.0,416.0,802.0,601.0
1972-03-01,2105.0,1000.0,140.0,965.0,290.0,404.0,873.0,538.0
1972-04-01,2139.0,1008.0,154.0,977.0,333.0,455.0,872.0,480.0
1972-05-01,2067.0,961.0,149.0,957.0,308.0,447.0,785.0,527.0
1972-06-01,2183.0,1018.0,148.0,1017.0,301.0,445.0,889.0,549.0
1972-07-01,2195.0,1027.0,141.0,1027.0,311.0,423.0,932.0,530.0
1972-08-01,2263.0,1074.0,146.0,1043.0,322.0,460.0,953.0,528.0
1972-09-01,2393.0,1050.0,149.0,1194.0,318.0,507.0,1044.0,523.0
1972-10-01,2354.0,1150.0,180.0,1024.0,341.0,435.0,1009.0,569.0
1972-11-01,2234.0,1033.0,145.0,1056.0,366.0,412.0,909.0,548.0
1972-12-01,2419.0,1034.0,150.0,1235.0,426.0,461.0,1010.0,522.0
1973-01-01,2271.0,1108.0,148.0,1015.0,357.0,472.0,910.0,532.0
1973-02-01,2226.0,1074.0,137.0,1015.0,317.0,500.0,905.0,504.0
1973-03-01,2062.0,992.0,134.0,936.0,341.0,406.0,817.0,498.0
1973-04-01,1908.0,938.0,128.0,842.0,299.0,372.0,813.0,424.0
1973-05-01,1931.0,957.0,126.0,848.0,267.0,393.0,824.0,447.0
1973-06-01,2051.0,932.0,127.0,992.0,307.0,337.0,963.0,444.0
1973-07-01,1819.0,897.0,128.0,794.0,279.0,382.0,735.0,422.0
1973-08-01,1809.0,825.0,114.0,870.0,284.0,381.0,735.0,409.0
1973-09-01,1704.0,812.0,104.0,788.0,242.0,326.0,693.0,443.0
1973-10-01,1411.0,689.0,90.0,632.0,207.0,298.0,582.0,324.0
1973-11-01,1402.0,691.0,81.0,630.0,217.0,294.0,599.0,292.0
1973-12-01,1288.0,665.0,83.0,540.0,197.0,247.0,520.0,324.0
1974-01-01,1331.0,675.0,87.0,569.0,212.0,279.0,540.0,300.0
1974-02-01,1360.0,727.0,86.0,547.0,206.0,292.0,543.0,319.0
1974-03-01,1440.0,786.0,89.0,565.0,201.0,338.0,544.0,357.0
1974-04-01,1254.0,714.0,79.0,461.0,178.0,247.0,485.0,344.0
1974-05-01,1138.0,667.0,71.0,400.0,177.0,250.0,415.0,296.0
1974-06-01,1086.0,657.0,64.0,365.0,167.0,246.0,386.0,287.0
1974-07-01,1002.0,621.0,57.0,324.0,146.0,225.0,372.0,259.0
1974-08-01,917.0,614.0,55.0,248.0,131.0,226.0,314.0,246.0
1974-09-01,840.0,578.0,42.0,220.0,139.0,218.0,264.0,219.0
1974-10-01,824.0,560.0,48.0,216.0,144.0,217.0,253.0,210.0
1974-11-01,783.0,543.0,42.0,198.0,131.0,193.0,243.0,216.0
1974-12-01,869.0,535.0,49.0,285.0,179.0,188.0,266.0,236.0
1975-01-01,726.0,527.0,45.0,154.0,97.0,191.0,235.0,203.0
1975-02-01,729.0,528.0,56.0,145.0,112.0,177.0,223.0,217.0
1975-03-01,709.0,532.0,43.0,134.0,103.0,168.0,215.0,223.0
1975-04-01,866.0,616.0,63.0,187.0,133.0,211.0,283.0,239.0
1975-05-01,914.0,657.0,58.0,199.0,135.0,238.0,272.0,269.0
1975-06-01,946.0,671.0,64.0,211.0,126.0,235.0,310.0,275.0
1975-07-01,1020.0,697.0,71.0,252.0,139.0,283.0,306.0,292.0
1975-08-01,994.0,726.0,62.0,206.0,135.0,251.0,316.0,292.0
1975-09-01,1064.0,763.0,69.0,232.0,148.0,262.0,334.0,320.0
1975-10-01,1096.0,786.0,84.0,226.0,139.0,278.0,341.0,338.0
1975-11-01,1110.0,805.0,79.0,226.0,141.0,285.0,347.0,337.0
1975-12-01,1091.0,810.0,73.0,208.0,139.0,285.0,349.0,318.0
1976-01-01,1195.0,855.0,80.0,260.0,136.0,284.0,374.0,401.0
1976-02-01,1190.0,865.0,84.0,241.0,141.0,318.0,385.0,346.0
1976-03-01,1164.0,838.0,82.0,244.0,143.0,313.0,365.0,343.0
1976-04-01,1132.0,832.0,77.0,223.0,139.0,288.0,357.0,348.0
1976-05-01,1194.0,830.0,83.0,281.0,144.0,297.0,396.0,357.0
1976-06-01,1188.0,846.0,83.0,259.0,132.0,307.0,370.0,379.0
1976-07-01,1245.0,877.0,83.0,285.0,151.0,300.0,388.0,406.0
1976-08-01,1309.0,878.0,101.0,330.0,163.0,315.0,395.0,436.0
1976-09-01,1481.0,917.0,112.0,452.0,159.0,391.0,469.0,462.0
1976-10-01,1425.0,967.0,109.0,349.0,163.0,364.0,421.0,477.0
1976-11-01,1531.0,1029.0,115.0,387.0,166.0,366.0,449.0,550.0
1976-12-01,1511.0,1028.0,113.0,370.0,170.0,351.0,462.0,528.0
1977-01-01,1466.0,996.0,116.0,354.0,136.0,326.0,457.0,547.0
1977-02-01,1560.0,1091.0,114.0,355.0,140.0,351.0,508.0,561.0
1977-03-01,1660.0,1140.0,114.0,406.0,212.0,393.0,514.0,541.0
1977-04-01,1660.0,1089.0,113.0,458.0,177.0,418.0,547.0,518.0
1977-05-01,1668.0,1107.0,114.0,447.0,181.0,407.0,556.0,524.0
1977-06-01,1752.0,1121.0,118.0,513.0,239.0,414.0,571.0,528.0
1977-07-01,1687.0,1125.0,129.0,433.0,165.0,412.0,571.0,539.0
1977-08-01,1780.0,1156.0,134.0,490.0,176.0,446.0,613.0,545.0
1977-09-01,1674.0,1137.0,119.0,418.0,171.0,381.0,568.0,554.0
1977-10-01,1758.0,1159.0,123.0,476.0,204.0,381.0,610.0,563.0
1977-11-01,1771.0,1176.0,142.0,453.0,166.0,414.0,597.0,594.0
1977-12-01,1754.0,1161.0,119.0,474.0,182.0,402.0,620.0,550.0
1978-01-01,1740.0,1186.0,113.0,441.0,193.0,351.0,649.0,547.0
1978-02-01,1736.0,1112.0,124.0,500.0,167.0,406.0,620.0,543.0
1978-03-01,1799.0,1160.0,134.0,505.0,174.0,408.0,647.0,570.0
1978-04-01,1948.0,1279.0,128.0,541.0,204.0,415.0,771.0,558.0
1978-05-01,1766.0,1178.0,126.0,462.0,184.0,387.0,644.0,551.0
1978-06-01,1983.0,1254.0,169.0,560.0,192.0,384.0,648.0,759.0
1978-07-01,1786.0,1146.0,118.0,522.0,218.0,399.0,656.0,513.0
1978-08-01,1691.0,1113.0,118.0,460.0,202.0,388.0,635.0,466.0
1978-09-01,1751.0,1150.0,125.0,476.0,203.0,391.0,654.0,503.0
1978-10-01,1781.0,1182.0,130.0,469.0,183.0,383.0,683.0,532.0
1978-11-01,1795.0,1176.0,134.0,485.0,201.0,363.0,725.0,506.0
1978-12-01,1818.0,1247.0,140.0,431.0,212.0,372.0,699.0,535.0
1979-01-01,1461.0,959.0,117.0,385.0,190.0,213.0,591.0,467.0
1979-02-01,1492.0,935.0,101.0,456.0,164.0,260.0,593.0,475.0
1979-03-01,1720.0,1139.0,134.0,447.0,157.0,320.0,753.0,490.0
1979-04-01,1597.0,1062.0,127.0,408.0,159.0,314.0,621.0,503.0
1979-05-01,1684.0,1067.0,128.0,489.0,177.0,341.0,660.0,506.0
1979-06-01,1640.0,1041.0,131.0,468.0,181.0,330.0,639.0,490.0
1979-07-01,1534.0,989.0,130.0,415.0,161.0,287.0,599.0,487.0
1979-08-01,1591.0,989.0,141.0,461.0,152.0,297.0,640.0,502.0
1979-09-01,1638.0,965.0,134.0,539.0,201.0,303.0,660.0,474.0
1979-10-01,1481.0,901.0,132.0,448.0,142.0,263.0,643.0,433.0
1979-11-01,1276.0,770.0,96.0,410.0,151.0,203.0,554.0,368.0
1979-12-01,1254.0,777.0,119.0,358.0,152.0,224.0,517.0,361.0
1980-01-01,1280.0,786.0,113.0,381.0,126.0,232.0,563.0,359.0
1980-02-01,1199.0,733.0,108.0,358.0,131.0,191.0,529.0,348.0
1980-03-01,988.0,576.0,95.0,317.0,123.0,131.0,462.0,272.0
1980-04-01,808.0,476.0,68.0,264.0,89.0,125.0,393.0,201.0
1980-05-01,861.0,508.0,87.0,266.0,105.0,135.0,403.0,218.0
1980-06-01,1118.0,650.0,100.0,368.0,120.0,161.0,545.0,292.0
1980-07-01,1259.0,772.0,119.0,368.0,118.0,217.0,584.0,340.0
1980-08-01,1367.0,846.0,135.0,386.0,122.0,221.0,632.0,392.0
1980-09-01,1484.0,881.0,145.0,458.0,136.0,239.0,722.0,387.0
1980-10-01,1366.0,824.0,134.0,408.0,135.0,240.0,631.0,360.0
1980-11-01,1383.0,819.0,142.0,422.0,127.0,221.0,654.0,381.0
1980-12-01,1249.0,745.0,123.0,381.0,114.0,211.0,621.0,303.0
1981-01-01,1221.0,693.0,140.0,388.0,111.0,199.0,608.0,303.0
1981-02-01,1199.0,702.0,117.0,380.0,120.0,179.0,603.0,297.0
1981-03-01,1183.0,690.0,113.0,380.0,126.0,196.0,565.0,296.0
1981-04-01,1190.0,686.0,126.0,378.0,129.0,164.0,575.0,322.0
1981-05-01,1173.0,654.0,110.0,409.0,111.0,145.0,578.0,339.0
1981-06-01,976.0,565.0,107.0,304.0,109.0,137.0,466.0,264.0
1981-07-01,935.0,543.0,99.0,293.0,118.0,121.0,469.0,227.0
1981-08-01,889.0,512.0,90.0,287.0,115.0,114.0,439.0,221.0
1981-09-01,847.0,461.0,80.0,306.0,95.0,110.0,428.0,214.0
1981-10-01,731.0,401.0,85.0,245.0,105.0,100.0,343.0,183.0
